title,abstract
California and Texas: Renewable Energy’s Odd Couple,"For California, solar power and efficiency are the keys. In Texas, less regulation has allowed wind power to take hold."
"India Chases Clean Energy, but Economic Goals Put Coal First","“I will not compromise on the availability of power,” India’s energy minister has declared in defense of fossil fuel use, which is heavily subsidized."
Empty Vows on Renewable Energy?,EU policymakers say the region’s vast industries and its population of 450 million people can be run on 20 percent renewable energy by the end of the next decade.
Houston a Hub for Renewable Energy?,"NRG Energy, the big wholesale power generation company, may be delivering a considerable amount of solar energy to Houston as soon as next year."
Renewable Energy Panel Named,"Lt. Gov. David A. Paterson announced the appointment of 16 members to the state’s new Renewable Energy Task Force, which is to meet for the first time on June 26 and issue recommendations by Dec. 1."
How Sustainable Is the Rally in Renewable Energy Stocks?,Solar and wind power companies have soared in value. Are they in a bubble or in a virtuous upward cycle?
Renewable energy : LETTERS TO THE EDITOR,"Governments are slowly realizing that long-term national and international security is threatened by environmental degradation and poverty. . One-third of the world's population — nearly two billion men, women and children — live on less than"
Oil Exports and Renewable Energy,"If Congress lifts a ban on crude oil exports, it must promote investment in technologies that move the country beyond fossil fuels."
Surplus Renewable Energy: An Update,"From interregional sharing to the development of batteries, Energy Secretary Steven Chu offers ideas for coping with a sudden oversupply of power to the grid."
Debating Protectionism on Renewable Energy,Gov. Arnold Schwarzenegger has come out in support of importing clean power into California. But other states have shaped their renewable-energy requirements to protect local industries.
A Bipartisan Bill on Renewable Energy,"With cap-and-trade legislation all but dead in the Senate, some lawmakers who previously opposed a move to require utilities to generate more electricity from renewable sources appear to have hopped on board."
Houston a Hub for Renewable Energy?,"NRG Energy, the big wholesale power generation company, may be delivering a considerable amount of solar energy to Houston as soon as next year."
Q. and A.: The Renewable Energy Czar,"The World Bank’s point man on renewables and energy efficiency vows to embrace the full spectrum, from rural cookstoves in East Africa to smart-grid technologies."
Renewable Energy Financing Hits a Snag,"Loss of investor confidence has shaken the stocks for renewable energy companies; this is especially apparent with yieldcos, a type of financing vehicle for the industry."
"Renewable Energy Resources, Harnessed","What made Jeremy Nelson’s new “Sail” stand out on Thursday night at Danspace Project was Mr. Nelson’s trademark full-blown, surging movement and the vivid individuality of its five hard-dancing performers."
Europe Pushes for Renewable Energy,"European Commission president Romano Prodi is leading drive for less reliance on fossil fuels and more use of energy from wind or sun; commission has earmarked more than 2.1 billion euros ($2 billion) for research over next five years into sustainable energy projects, 20-fold increase in last five years; central focus will be hydrogen fuel cells, field where European Union has lagged US and Japan in publicly financed research; commission convenes meeting of panel of senior executives from European companies with stakes in matter, like Royal Dutch/Shell, DaimlerChrysler and Rolls-Royce, aircraft engine maker; panel will advise union on developemnt of hydrogen fuel cells; photo (M)"
"In Trump Country, Renewable Energy Is Thriving","As the Trump administration digs in on coal and oil, numerous Republican-led states are investing in clean energy from the wind and the sun."
A Very Renewable Energy Source,"Faced with a plague of rabbits, some wild and some abandoned pets, the city of Stockholm is pursuing a unique pest-control strategy. The city is hunting, deep-freezing, and shipping the rabbits to a heating plant in central Sweden where they're processed for fuel. Three thousand rabbits have been culled this year."
How to Make Renewable Energy Competitive,Give clean energy technologies access to the same low-cost capital that coal and natural gas enjoy.
Economic Slowdown Challenges Renewable Energy,"At an industry conference, executives cite benefits of wind and solar energy but acknowledge economic hurdles."
Renewable Energy Pulls Plug on I.P.O.,"The Renewable Energy Group, a producer of biodiesel fuel, filed on Monday with federal regulators to withdraw a planned initial public offering of its common stock, citing current market conditions."
China Investing Billions in Renewable Energy,The plan will create jobs and help decrease the smog blanketing many Chinese cities.
What's Holding Back Renewable Energy?,The use of green resources has grown but recent bankruptcies in the industry raise questions about the future.
Google’s Next Frontier: Renewable Energy,"Google said it would spend hundreds of millions of dollars on renewable energy, part of that to hire engineers and experts to investigate alternative energies like solar and wind power."
Fixing the Tax Problems of Renewable Energy,"As the wind and solar industries struggle amid the economic crisis, the new Congress is working on a solution."
Spending Too Carefully on Renewable Energy?,"The American Recovery and Reinvestment Act, passed in February 2009, allocated $3.1 billion to improve energy efficiency and spur the use of renewable energy. But by July 9 of this year, only about 7.2 percent had been spent."
Democrats propose billions for renewable energy,"WASHINGTON — U.S. Senate Democrats, pushing to pass a broad energy bill next week, have developed a package that would take about $25 billion in tax breaks and other benefits from the oil industry and use the money for a vast expansion of renewable energy sources."
Renewable Energy in Spain Is Taking a Beating,Recession has pushed many to say benefits are outweighed by costs.
Lawmakers at Impasse on Incentives for Renewable Energy,Tax credits for investing in solar energy and producing wind energy will expire at the end of the year unless Congress resolves the impasse.
Who Created the Renewable-Energy Miracle?,"Was it luck, or was it good policy?"
Google’s Next Frontier: Renewable Energy,"Google the Internet company with a seemingly limitless source of revenue, plans to get into the business of finding limitless sources of energy."
Oil Workers Muse on Renewable Energy,Oil workers on a deepwater rig idled by a federal moratorium on deepwater drilling share their thoughts on renewable energy.
A 'Big Thumbs Up' for Renewable Energy,Experts advising the United Nations said renewable sources could deliver nearly 80 percent of world's total energy demand by the middle of the century.
Renewable Energy Industries Push for New Financing Options,"With government approval, investment structures more commonly used by the oil, gas and real estate industries could make wind and solar companies more appealing to investors."
Filling the Gaps in the Flow of Renewable Energy,"As renewable energy becomes increasingly commonplace, interest in energy storage technologies like batteries is growing around the world."
House Passes Renewable Energy Credits,The bill would extend more than $17 billion in incentives to encourage the production of energy from renewable sources.
Romania Changes Course on Renewable Energy,"Romania has built a reputation as a prime location for green energy projects. But as it prepares to cut subsidies, the country is sending discouraging signals to foreign investors."
Why the French lag in renewable energy,"ST. GOUÉNO, France — A sign outside St. Gouéno's village hall in northwestern France warns that pregnant women and infants shouldn't drink the water. The reason: nitrate levels of 63 units per milliliter, well above the European Union standard of 50, caused by large quantities of pig waste."
Obama Presses Case for Renewable Energy,"In a wide-ranging speech on Friday, the president took aim at business interests that have lobbied against an energy bill moving through Congress."
California Renewable-Energy Initiatives Defeated,Two alternative energy ballot initiatives in California are shot down by voters who saw them as wrong-headed and expensive.
U.S. Holds Gathering on Renewable Energy,"Interior Sec Gale A Norton, saying Bush administration wants to spur renewable energy, hosts conference for renewable energy manufacturers who want to operate on federal lands; critics, holding Bush's policies favor extractive energy industries, call conference window dressing; note administration seeks to cut federal money for research and development in renewable energy by half (M)"
Mixed report on renewable energy in U.S.,"NEW YORK — In hopes of slowing global warming and creating ""green jobs,"" the U.S. Congress and the incoming administration may soon impose a mandate that the United States get 10 or 15 percent of its electricity from renewable sources within a few years."
K.K.R. to Invest in Acciona’s Renewable Energy Arm,K.K.R. has agreed to pay about $567 million for a one-third stake in the international renewable energy business of the Spanish company Acciona and will help finance future growth in Acciona’s renewable energy business.
California Renewable-Energy Initiatives Defeated,Two alternative energy ballot initiatives in California were shot down by voters who saw them as wrongheaded and expensive.
EU adopts renewable energy proposals,BRUSSELS — The European Union agreed Thursday on a series of measures to promote green energy after resolving a long-running battle over biofuels.
Climate Panel Charts Options for Renewable Energy,The Intergovernmental Panel on Climate Change releases a report on the potential role for renewable energy technology through 2050.
"Meanwhile, Sarah Palin Embraces Renewable Energy","President Obama’s renewable energy ambitions put him in rare agreement with his campaign opponent, Governor Sarah Palin of Alaska, who just announced her own wind, geothermal, tidal and wave energy push."
Renewable Energy May Be Stocks' Next Big Thing,"Investors looking for the next technology strong enough to drive a market boom should keep an eye on renewable energy companies, The Associated Press says."
"In a First, Renewable Energy Is Poised to Eclipse Coal in U.S.","The coronavirus has pushed the coal industry to once-unthinkable lows, and the consequences for climate change are big."
Australia Steps Up Renewable Energy Efforts,"Sustainable energy now supplies just 6 percent of power in Australia, but the country has set a target of 20 percent by 2020."
Obama’s Speech on Renewable Energy Policy,"The following is a transcript of President Obama’s remarks on Friday at the Massachusetts Institute of Technology, as released by the White House."
The Texas Group Waging a National Crusade Against Climate Action,"The Texas Public Policy Foundation is shaping laws, running influence campaigns and taking legal action in a bid to promote fossil fuels."
Google Pulls the Plug on a Renewable Energy Effort,The company dropped an effort to make steam to generate electricity using  a giant field of computer-controlled solar mirrors that will focus the sun’s light on a black-painted absorber.
Schwarzenegger Orders Increase in Renewable Energy Use,Gov. Arnold Schwarzenegger ordered California to draw 33 percent of its electricity from renewable sources like solar and wind power by 2020.
Austin Plan for Renewable Energy at Odds With Utility,"As Austin’s City Council passed legislation to commit to a progressive energy policy, the city-owned utility has balked at the proposal saying it would be too expensive."
Rare Coalition Fights Renewable-Energy Measure,Environmental groups and the Democratic Party have joined with the major utilities and the Republican Party to oppose Proposition 7 in California.
Britain Plans to Cut Subsidies for Renewable Energy,"The government argued that the industry, which includes solar power plants and wind farms, could survive without the support."
Senate Voting on Renewable Energy Tax Credits,Senate vote on tax credits for renewables coming soon…
Europe Is Wrong to Blame the U.S. for Its Energy Problems,The complaints not only are misguided but also risk aiding Vladimir Putin in his attempted conquest of Ukraine.
Enel to invest €4.1 billion in renewable energy,"MILAN — MILAN: Enel, the largest Italian electricity producer, on Thursday announced the biggest commitment of any European utility to renewable energies, saying it would invest €4.1 billion over five years in emissions abatement technologies."
Words of Caution on a Renewable Energy Financing Idea,Experts emphasize that Europe’s policies to encourage renewables differ — and some are better than others.
Compromise Brings Accord on Renewable Energy Closer,"American officials attending world summit conference on sustainable development in Johannesburg win important concession when deadline is dropped from plan for converting world energy production from fossil fuels to solar and wind power and other renewable energy sources; officials say delegates are now close to final agreement on plan; environmentalists are critical, saying US has repeatedly watered down text of accord; US position is that it prefers concrete action to target dates that might ultimately prove meaningless; photo (M)"
Britain Revives Regulation in a Push for Renewable Energy,Britain is returning to a system of greater market intervention to fulfill what the government considers to be an imperative to reduce greenhouse gases.
WHAT'S NEW IN RENEWABLE ENERGY SOURCES,"  WHEN the Arab oil embargo was declared in 1973, the search for new sources of energy in the United States took on new meaning. Americans no longer wanted to rely on sources that could dry up because of events in far-away countries. The push was on, in fact, to find energy sources - the wind, the sun, the flowing rivers, even the trash bins - that would not run out for any reason."
Renewable energy : Entering the post-petroleum century,"The renewable energy sources of today have about the same share of the overall energy supply, and the same prospect for rapid future growth, as petroleum did a century ago. In 1902, petroleum accounted for around 2 percent of total commercial energy. But"
China Aims to Spend at Least $360 Billion on Renewable Energy by 2020,"China’s announcement was a bold claim on leadership in the renewable energy industry, where Chinese companies are already among the world’s dominant players."
Saudi Minister Urges Caution on Renewable Energy,"In one of the most important discourses on the economics of petroleum made by a senior oil official in recent times, Ali Al-Naimi, the Saudi oil minister, warned that the drive to renewable energy could be economically destabilizing."
Crisis puts renewable energy incentives into play,"WASHINGTON — A long-stalled tax bill offering incentives for the use of renewable energy and providing tax breaks to millions of families and businesses gained momentum on Wednesday, when it was strapped onto emergency legislation to shore up the nation's financial system."
Irish town takes lead on renewable energy,"DUNDALK, Ireland — This corner of Ireland is typically associated with a hulk-like figure from Irish mythology whose anger could generate enough energy to melt snow in a 30-foot radius around him."
U.S. incentives for renewable energy raise questions,"From New York to Washington, government suddenly seems to be in the business of promoting alternative energy sources."
Renewable Energy Group Seeks $150 Million I.P.O.,"The Renewable Energy Group, a biodiesel producer, filed with regulators on Monday to raise up to $150 million in an initial public offering of common stock."
Renewable Energy May Be Stocks’ Next Big Thing,"Investors looking for the next technology strong enough to drive a market boom should keep an eye on renewable energy companies, The Associated Press says."
Renewable Energy Industry Says the Future Looks Bright,"Solar and wind power industry leaders, along with environmentalists, chime-in on the election."
Irish town takes lead on renewable energy,"DUNDALK, Ireland — When the fearsome Cuchulainn was transformed by the rage of battle into a Celtic Incredible Hulk, according to Irish mythology, the warrior's intensity melted snow for 30 feet around him. That was an impressive generation of alternative energy from this Achilles-like hero so closely associated with Dundalk, but this town on Ireland's east coast is turning to less ephemeral kinds of power as it tests technologies to reduce the country's thirst for fossil fuels."
"Chinese Solar Makers Evaded U.S. Tariffs, Investigation Finds","The Biden administration pre-emptively halted any penalties from the case in June, prompting critics to say the administration had shortcut its own trade rules"
Pataki Orders a Shift Toward Renewable Energy,"New York State Gov George E Pataki orders that state buildings get 20 percent of their electricity from renewable energy sources like solar or wind power by 2010, effort that environmentalists laud as most ambitious of its kind in country; Pataki also appoints task force of industry leaders, state officials and environmentalists to find ways to reduce carbon dioxide emissions in New York and to combat global warming (M)"
Google Says It Will Run Entirely on Renewable Energy in 2017,The internet giant has spent years migrating the source of electric power at its giant data centers to sources like wind turbines and solar panels.
"With Billions at Stake, Trying to Expand the Meaning of ‘Renewable Energy’",Industries are pushing to classify nuclear power plants and burning waste from coal mines as environmentally advantageous.
Chu Promises Speedier Funding for Renewable Energy Projects,"Among other things, Secretary of Energy Stephen Chu announced $93 million in funding for American wind energy research and development on Wednesday."
Renewable Energy Is Surging. The G.O.P. Tax Bill Could Curtail That.,The tax bills moving through Congress could hobble the United States’ renewable energy industry because of provisions that scale back incentives for wind and solar power.
Waves Start to Make Ripples in Renewable Energy World,"The next three years will be critical in determining whether such power is cost effective, when roughly 30 wave energy projects are expected to start commercial operations"
Waves Start to Make Ripples in Renewable Energy World,"The next three years will be critical in determining whether such power is cost effective, when roughly 30 wave energy projects are expected to start commercial operations"
Renewable Energy Fosters a Boom in Depressed German State,"Wind, solar and biomass energy have created thousands of jobs in a northeastern state that was the poorest in Germany."
U.S. Makes First Renewable-Energy Loan Guarantee,From John M. Broder at Green Inc.
V.C.’s Set for Hot Returns on Renewable Energy,"Venture capital investments in the renewable energy sector are on course to reap annualized returns of more than 50 percent, as commitments to the climate change sector to date this year hit $6 billion, outstripping the total for the whole of last year."
Ontario Issues $8 Billion in Renewable Energy Contracts,The province announced $8 billion in new renewable energy deals under its bulked up feed-in-tariff program.
Budget and Leadership Problems Plague Renewable Energy Agency,"Created just last year, the International Renewable Energy Agency, or Irena, is struggling in part because leading member countries have withheld financial support."
Chu Promises Speedier Funding for Renewable Energy Projects,"Among other things, Secretary of Energy Stephen Chu announced $93 million in funding for American wind energy research and development on Wednesday."
Fissures in G.O.P. as Some Conservatives Embrace Renewable Energy,Solar power is dividing conservatives who support utilities and libertarians who see them as regulated monopolies whose rates are set by bureaucrats — the opposite of a free-market economy.
Nixon Calls for New York to Fully Embrace Renewable Energy by 2050,"Cynthia Nixon, who is challenging Gov. Andrew M. Cuomo in the Democratic primary, wants to compel the state to transition to 100 percent clean energy."
Biden Promises Protections for Nevada’s Spirit Mountain,"But the president stopped short of designating the ecologically and cultural important region, also known as Avi Kwa Ame, as a national monument."
San Diego Vows to Move Entirely to Renewable Energy in 20 Years,"With an ordinance passed on Tuesday, San Diego became the largest American city to make a legally binding commitment to transition to 100 percent renewable energy."
Why are Oil Majors so Keen on Renewable Energy?,"Just when will oil run out, creating economic and social panic, and putting an end to decades of prosperity based on the plentifulness of petroleum? The answer seems to be “soon,” according to a documentary."
Could Small Nations Like the Maldives Lead in Renewable Energy?,Some of the countries like the Maldives that may be most vulnerable to climate change could be the ones to spearhead a transition to economies free of fossil fuels.
"With Federal Aid on the Table, Utilities Shift to Embrace Climate Goals","As billions in government subsidies were at stake, the electric utility industry shed its opposition to clean-air regulation and put its lobbying muscle behind passing President Biden’s climate bill."
Narendra Modi says India will sharply increase renewable energy.,"Wealthy nations need to spend $1 trillion to help developing nations like India make the transition to renewables, Prime Minister Modi said."
"Trade Disputes Hurt Renewable Energy, Chinese Executive Asserts",The head of a Chinese solar panel manufacturer said a U.S. dumping suit was counterproductive.
Five Countries Fall Behind on European Renewable Energy Goals,The European Commission said on Thursday that five countries were failing to meet goals for renewable energy but that they could make up their quotas by buying electricity from North Africa and the Balkans.
Terra Firma Considers Ending Investment in Renewable Energy Firm,"The European private equity fund said that it was “exploring options to crystallize the value” of its 68.6 percent stake in Infinis Energy, a wind-power company, including a potential sale."
Economic Interests Keep Drive for Renewable Energy Stuck in Neutral,"Article on continued reliance on fossil fuels while renewable energy sources, like sun and wind, are on brink of mass production in a future that seems perpetually out of reach; solar and wind power, whose prices have fallen over last decade, remain more expensive than coal, oil and natural gas; environmental groups say one reason fossil fuels remain cheap is that price does not reflect environmental damage they cause or costs of defending supply lines; photos; graphs (Special Report: Managing Planet Earth) (L)"
Energy Department Issues First Renewable-Energy Loan Guarantee,"The Department of Energy has tentatively awarded its first alternative-energy loan guarantee, breaking a four-year logjam in the federal loan program."
Renewable Energy Industries Ask Obama to Speed Loan Guarantees,"Worried that an important loan-guarantee program has ground to a standstill, renewable energy industry associations today sent a letter to President Obama urging him to speed the program along."
Renewable Energy Industries Ask Obama to Speed Loan Guarantees,"Worried that an important loan-guarantee program has ground to a standstill, renewable energy industry associations today sent a letter to President Obama urging him to speed the program along."
Bush Admits to 'Mixed Signals' Regarding Laboratory on Renewable Energy,"President Bush acknowledged on Tuesday that his administration had sent ''mixed signals'' to the Department of Energy's primary renewable energy laboratory here, where government budget cuts forced the layoff of 32 employees who were then hastily reinstated just before Mr. Bush's visit.     ''I recognize that there has been some interesting, let me say, mixed signals when it comes to funding,'' Mr. Bush said at the start of a panel discussion at the National Renewable Energy Laboratory, which researches solar and wind power as well as energy from plants, like ethanol.  "
U.S. Use of Renewable Energy Took a Big Fall in 2001,"Energy Department says consumption of energy from renewable sources, like sun, wind and biological fuels, fell sharply in 2001, owing largely to drought that cut generation of hydroelectric power by 23 percent; says solar equipment is being retired faster than new equipment is being built (M)"
"As Macron Pays State Visit to U.S., Ukraine Tests an Old Alliance","The French president goes to Washington with differences over how to end the war in Ukraine, and how to share its burdens, at the heart of talks with President Biden."
Energy Department Issues First Renewable-Energy Loan Guarantee,"The $535 million loan guarantee will go to Solyndra, which said it would use the money to expand its production of photovoltaic systems at its facilities in Fremont, Calif."
China’s State Power Investment Corporation to Buy Renewable Energy Company,"Pacific Hydro, which has electric and wind facilities in Australia, Brazil and Chile, is being purchased from the Australian pension fund IFM Investors for an undisclosed price."
"In Surprise Move, Terra Firma Shakes Up Renewable Energy Team","Terra Firma said that Damian Darragh, who worked for Terra Firma for 18 years and was head of its green power investments, was asked to leave the firm."
Cost Works Against Alternative and Renewable Energy Sources in Time of Recession,"As Congress debates new emissions restrictions, an underlying question is how much more Americans will be willing to pay to harness the wind and the sun."
Chinese power company raises renewable-energy goals by 50 percent,HONG KONG — China Power New Energy Development has raised its renewable energy capacity goals by half as Beijing pushes to clean up its air and water and whittle down its reliance on imported resources.
Renewable Energy Appeal Is Newest Twist on Old E-Mail Scheme,Email scammers are now trying to convince victims to invest in wacky alternative energy schemes.
